filename,words
๕๐๓๘๑.png,๕๐๓๘๑
๑๘๐๖๔.png,๑๘๐๖๔
๒๑๘๑๕.png,๒๑๘๑๕
๔๐๗๘๐.png,๔๐๗๘๐
๗๓๔๓๘.png,๗๓๔๓๘
๐๖๐๖๔.png,๐๖๐๖๔
๗๓๓๖๓.png,๗๓๓๖๓
๓๗๓๓๑.png,๓๗๓๓๑
๗๐๗๒๐.png,๗๐๗๒๐
๓๓๗๕๑.png,๓๓๗๕๑
๙๐๐๓๘.png,๙๐๐๓๘
๕๔๓๒๔.png,๕๔๓๒๔
๓๑๗๘๒.png,๓๑๗๘๒
๓๓๖๑๘.png,๓๓๖๑๘
๐๙๕๘๐.png,๐๙๕๘๐
๓๑๙๖๒.png,๓๑๙๖๒
๕๑๗๐๐.png,๕๑๗๐๐
๒๒๓๒๙.png,๒๒๓๒๙
๑๐๖๐๑.png,๑๐๖๐๑
๖๕๒๔๙.png,๖๕๒๔๙
๗๔๖๓๔.png,๗๔๖๓๔
๙๖๘๖๙.png,๙๖๘๖๙
๕๗๖๑๔.png,๕๗๖๑๔
๔๕๙๕๓.png,๔๕๙๕๓
๐๙๕๔๐.png,๐๙๕๔๐
๒๐๒๖๗.png,๒๐๒๖๗
๓๖๒๐๒.png,๓๖๒๐๒
๔๖๒๕๖.png,๔๖๒๕๖
๑๗๗๘๐.png,๑๗๗๘๐
๕๔๘๖๑.png,๕๔๘๖๑
๓๗๑๘๔.png,๓๗๑๘๔
๙๗๕๒๑.png,๙๗๕๒๑
๕๔๔๓๖.png,๕๔๔๓๖
๙๙๑๓๔.png,๙๙๑๓๔
๒๙๓๔๖.png,๒๙๓๔๖
๒๖๘๘๒.png,๒๖๘๘๒
๒๗๓๙๕.png,๒๗๓๙๕
๓๙๑๕๔.png,๓๙๑๕๔
๖๓๐๗๔.png,๖๓๐๗๔
๒๙๐๓๕.png,๒๙๐๓๕
๐๖๙๖๙.png,๐๖๙๖๙
๐๗๘๔๙.png,๐๗๘๔๙
๑๔๗๖๖.png,๑๔๗๖๖
๕๗๓๑๓.png,๕๗๓๑๓
๓๑๙๒๘.png,๓๑๙๒๘
๔๘๗๘๒.png,๔๘๗๘๒
๖๓๑๐๒.png,๖๓๑๐๒
๙๕๔๖๙.png,๙๕๔๖๙
๖๑๒๖๕.png,๖๑๒๖๕
๗๖๐๕๗.png,๗๖๐๕๗
๒๘๒๔๔.png,๒๘๒๔๔
๖๙๕๘๑.png,๖๙๕๘๑
๗๒๒๐๐.png,๗๒๒๐๐
๓๘๔๕๒.png,๓๘๔๕๒
๕๐๙๒๒.png,๕๐๙๒๒
๗๔๐๘๙.png,๗๔๐๘๙
๒๒๗๔๒.png,๒๒๗๔๒
๔๘๗๙๙.png,๔๘๗๙๙
๙๓๘๓๗.png,๙๓๘๓๗
๙๙๒๖๐.png,๙๙๒๖๐
๗๓๖๕๒.png,๗๓๖๕๒
๙๐๔๔๒.png,๙๐๔๔๒
๗๕๕๕๕.png,๗๕๕๕๕
๘๙๕๐๗.png,๘๙๕๐๗
๐๔๖๒๒.png,๐๔๖๒๒
๐๖๗๔๗.png,๐๖๗๔๗
๘๐๐๕๒.png,๘๐๐๕๒
๗๐๕๗๐.png,๗๐๕๗๐
๔๕๗๓๖.png,๔๕๗๓๖
๖๔๙๓๔.png,๖๔๙๓๔
๓๒๒๓๓.png,๓๒๒๓๓
๒๒๗๗๘.png,๒๒๗๗๘
๐๒๖๘๒.png,๐๒๖๘๒
๖๐๐๐๗.png,๖๐๐๐๗
๑๖๑๕๒.png,๑๖๑๕๒
๕๓๓๖๙.png,๕๓๓๖๙
๒๑๗๙๘.png,๒๑๗๙๘
๗๓๖๒๗.png,๗๓๖๒๗
๙๖๔๙๕.png,๙๖๔๙๕
๗๐๐๗๑.png,๗๐๐๗๑
๕๗๑๙๔.png,๕๗๑๙๔
๕๗๖๓๑.png,๕๗๖๓๑
๐๓๓๐๐.png,๐๓๓๐๐
๔๙๐๒๓.png,๔๙๐๒๓
๘๘๔๕๔.png,๘๘๔๕๔
๔๖๗๐๑.png,๔๖๗๐๑
๙๔๔๔๕.png,๙๔๔๔๕
๒๔๓๕๑.png,๒๔๓๕๑
๓๓๕๖๓.png,๓๓๕๖๓
๘๖๔๕๔.png,๘๖๔๕๔
๑๓๐๖๓.png,๑๓๐๖๓
๘๗๘๓๑.png,๘๗๘๓๑
๒๒๙๑๖.png,๒๒๙๑๖
๑๐๗๕๔.png,๑๐๗๕๔
๐๔๐๘๔.png,๐๔๐๘๔
๗๖๓๗๖.png,๗๖๓๗๖
๘๗๓๗๐.png,๘๗๓๗๐
๑๔๖๘๔.png,๑๔๖๘๔
๑๑๑๐๕.png,๑๑๑๐๕
๖๗๗๓๖.png,๖๗๗๓๖
